idBuku,judulBuku,tipe,penerbit,tahun,deskripsi
1.0,"Ergonomi untuk keselamatan, kesehatan kerja dan produktivitas",eBook Teknik Industri,UNIBA,2004,Indeks
5.0,Khazanah Terapi Komplementer Alternatif : Telusur Invertensi Pengobatan Pelengkap Non-Medis,Buku,Nuansa Cendekia,2019,Pengobatan alternatif telah lama menjadi salah satu cara pengobatan yang dipilih oleh masyarakat Indonesia karena berbagai keunggulan. Sekarang telah muncul pengobatan dengan nama terapi komplementer yang sedamg hangat dibicarakan. Buku ini membahas berbagai hal tentang terapi komplementer mulai dari teori hingga jenis-jenis terapi serta sejarah dan kegunannya di dunia kesehatan.
6.0,Buku Ajar Terapi Komplementer untuk Mahasiswa Keperawata:  Evidence Based Practice,Buku,Samudra Biru,2018,"Dalam buku ini dibahasa terntang perkembangan terapi alternatif dan komplementer, peranan perawat dalam memberikan terapi alternatif dan komplementer, jelas-jenis terapi alternatif dan komplementer."
7.0,Panduan Bekam 'Bergambar' ; Seni Bekam Syar'I Untuk Terapi Penyakit Masa Kini,Buku,Zamzam,2023,"Buku ini membahas the art of cupping therapy seni terapi bekam, dengan mengkombinasikan antara dalil syari'i dan telaah ilmiah dalam dunia medis."
8.0,Cara Mudah Melahirkan Dengan Hypnobirthing Cetakan Pertama,Buku,Laksana,2015,"Buku yang mengupas gejala dan tahapan-tahapan persalinan, mitos-mitos, serta seabrek hal penting lainnya."
9.0,Bekam Medik : Hijamah dalam Perspektif Kedokteran Modern Prosedur Bekam Sayat Sesuai Standar Tindakan Medis,Buku,Thibbia,2019,Buku ini berusaha mengulas bekam dalam perspektif kedokteran modern.
92.0,Fundamentals of midwifery: a textbook for students,eBook Kebidanan,Unknown,2015,edited by Louise Lewis.
93.0,Discipline and punish: the birth of the prison,print,Unknown,1995,Michel Foucault ; translated from the French by Alan Sheridan.
94.0,Physiology in childbearing: with anatomy and related biosciences,print,Unknown,2010,"edited by Dot Stables, Jean Rankin."
95.0,Evidence-based care for normal labour and birth: a guide for midwives,print,Unknown,2007,Denis Walsh.
96.0,Essential midwifery practice: intrapartum care,print,Unknown,2010,"edited by Denis Walsh, Soo Downe."
97.0,Legal aspects of midwifery,print,Unknown,2006,Bridgit Dimond ; foreword by Robyn Phillips.
